Generation, Best Fitness
1,364
2,364
3,364
4,602
5,602
6,602
7,602
8,602
9,602
10,602
11,602
12,602
13,602
14,602
15,602
16,602
17,602
18,602
19,602
20,602
21,602
22,602
23,602
24,602
25,602
26,602
27,602
28,602
29,602
30,602
31,602
32,602
33,602
34,602
35,602
36,602
37,602
38,727
39,727
40,727
41,727
42,727
43,727
44,727
45,727
46,727
47,727
48,727
49,727
50,727
51,727
52,727
53,727
54,727
55,727
56,727
57,727
58,727
59,727
60,727
61,727
62,727
63,727
64,727
65,727
66,727
67,727
68,727
69,727
70,727
71,727
72,727
73,817
74,817
75,817
76,817
77,817
78,817
79,817
80,817
81,817
82,817
83,817
84,817
85,817
86,817
87,817
88,817
89,817
90,817
91,817
92,817
93,817
94,817
95,817
96,817
97,817
98,817
99,817
100,817
101,817
102,817
103,817
104,817
105,817
106,817
107,817
108,817
109,817
110,817
111,817
112,817
113,817
114,817
115,817
116,817
117,817
118,817
119,817
120,1063
121,1063
122,1063
123,1063
124,1063
125,1063
126,1063
127,1063
128,1063
129,1063
130,1063
131,1063
132,1063
133,1063
134,1063
135,1063
136,1063
137,1063
138,1063
139,1063
140,1063
141,1063
142,1063
143,1063
144,1063
145,1063
146,1063
147,1063
148,1063
149,1063
150,1063
151,1063
152,1063
153,1063
154,1063
155,1063
156,1063
157,1063
158,1063
159,1063
160,1063
161,1063
162,1063
163,1063
164,1063
165,1063
166,1063
167,1063
168,1063
169,1063
170,1063
171,1063
172,1063
173,1063
174,1063
175,1063
176,1063
177,1063
178,1063
179,1063
180,1063
181,1063
182,1063
183,1063
184,1063
185,1063
186,1063
187,1063
188,1063
189,1063
190,1063
191,1063
192,1063
193,1063
194,1063
195,1063
196,1063
197,1063
198,1063
199,1063
200,1063
201,1063
202,1063
203,1063
204,1063
205,1063
206,1063
207,1063
208,1063
209,1063
210,1063
211,1063
212,1063
213,1063
214,1063
215,1063
216,1063
217,1063
218,1063
219,1063
220,1063
221,1063
222,1063
223,1063
224,1063
225,1063
226,1063
227,1063
228,1063
229,1063
230,1063
231,1063
232,1063
233,1063
234,1063
235,1063
236,1063
237,1063
238,1063
239,1063
240,1063
241,1063
242,1063
243,1063
244,1063
245,1063
246,1063
247,1063
248,1063
249,1063
250,1063
251,1063
252,1063
253,1063
254,1063
255,1063
256,1063
257,1063
258,1063
259,1063
260,1063
261,1063
262,1063
263,1063
264,1063
265,1063
266,1063
267,1063
268,1063
269,1063
270,1063
271,1063
272,1063
273,1063
274,1063
275,1063
276,1063
277,1063
278,1063
279,1063
280,1063
281,1063
282,1063
283,1063
284,1063
285,1063
286,1063
287,1063
288,1063
289,1063
290,1063
291,1063
292,1063
293,1063
294,1063
295,1063
296,1063
297,1063
298,1063
299,1063
300,1063
301,1063
302,1063
303,1063
304,1063
305,1063
306,1063
307,1063
308,1063
309,1063
310,1063
311,1063
312,1063
313,1063
314,1063
315,1063
316,1063
317,1063
318,1063
319,1063
320,1063
321,1063
322,1063
323,1063
324,1063
325,1063
326,1063
327,1063
328,1063
329,1063
330,1063
331,1063
332,1063
333,1063
334,1063
335,1063
336,1063
337,1063
338,1063
339,1063
340,1063
341,1063
342,1063
343,1063
344,1063
345,1063
346,1063
347,1063
348,1063
349,1063
350,1063
351,1063
352,1063
353,1063
354,1063
355,1063
356,1063
357,1063
358,1063
359,1063
360,1063
361,1063
362,1063
363,1063
364,1063
365,1063
366,1063
367,1063
368,1063
369,1063
370,1063
371,1063
372,1063
373,1063
374,1063
375,1063
376,1063
377,1063
378,1063
379,1063
380,1063
381,1063
382,1063
383,1063
384,1063
385,1063
386,1063
387,1063
388,1063
389,1063
390,1063
391,1063
392,1063
393,1063
394,1063
395,1063
396,1063
397,1063
398,1063
399,1063
400,1063
401,1063
402,1063
403,1063
404,1063
405,1063
406,1063
407,1063
408,1063
409,1063
410,1063
411,1063
412,1063
413,1063
414,1063
415,1063
416,1063
417,1063
418,1063
419,1063
420,1063
421,1063
422,1063
423,1063
424,1063
425,1063
426,1063
427,1063
428,1063
429,1063
430,1063
431,1063
432,1063
433,1063
434,1063
435,1063
436,1063
437,1063
438,1063
439,1063
440,1063
441,1063
442,1063
443,1063
444,1063
445,1063
446,1063
447,1063
448,1063
449,1063
450,1063
451,1063
452,1063
453,1063
454,1063
455,1063
456,1063
457,1063
458,1063
459,1063
460,1063
461,1063
462,1063
463,1063
464,1063
465,1063
466,1063
467,1063
468,1063
469,1063
470,1063
471,1063
472,1063
473,1063
474,1063
475,1063
476,1063
477,1063
478,1063
479,1063
480,1063
481,1063
482,1063
483,1063
484,1063
485,1063
486,1063
487,1063
488,1063
489,1063
490,1063
491,1063
492,1063
493,1063
494,1063
495,1063
496,1063
497,1063
498,1063
499,1063
500,1063
